Start	Finish	Session ID	Application
2025-07-24 17:13:27	2025-07-24 17:13:37	1753377207518	com.android.chrome
2025-07-24 17:13:37	2025-07-24 17:13:45	1753377217643	com.android.chrome
2025-07-24 17:23:12	2025-07-24 17:23:20	1753377792855	com.android.chrome
